,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,legacy_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,station_status,starttime,timestamp,demand,supply
0,False,1,1,1,1608102244,72,8,1,46,0,3,72,active,1608116400,1608116400,0,1
1,False,1,1,1,1608112065,79,16,4,13,0,4,79,active,1608116400,1608116400,0,1
2,False,1,1,1,1608105588,82,16,2,9,0,1,82,active,1608116400,1608116400,0,2
3,False,1,1,1,1608099356,83,11,1,50,0,1,83,active,1608116400,1608116400,1,0
4,False,1,1,1,1608110776,116,44,0,6,0,6,116,active,1608116400,1608116400,0,0
5,False,1,1,1,1608110397,119,31,1,21,0,6,119,active,1608116400,1608116400,0,1
6,False,1,1,1,1608099356,120,4,1,14,0,1,120,active,1608116400,1608116400,0,0
7,False,1,1,1,1608107554,127,30,1,0,0,8,127,active,1608116400,1608116400,0,0
8,False,1,1,1,1608115866,128,38,2,16,0,0,128,active,1608116400,1608116400,2,0
9,False,1,1,1,1608099356,143,4,0,20,0,0,143,active,1608116400,1608116400,0,1
10,False,1,1,1,1608110835,144,48,0,10,0,0,144,active,1608116400,1608116400,0,1
11,False,1,1,1,1608099357,146,19,0,20,0,0,146,active,1608116400,1608116400,0,1
12,False,1,1,1,1608113984,150,21,0,34,0,5,150,active,1608116400,1608116400,0,0
13,True,1,1,1,1608116098,151,18,2,13,0,8,151,active,1608116400,1608116400,0,0
14,False,1,1,1,1608111415,152,6,0,43,0,0,152,active,1608116400,1608116400,0,0
15,False,1,1,1,1608103918,157,6,0,16,1,1,157,active,1608116400,1608116400,0,0
16,False,1,1,1,1608115898,161,28,1,6,0,1,161,active,1608116400,1608116400,0,0
17,False,1,1,1,1608104179,164,9,0,38,0,0,164,active,1608116400,1608116400,3,0
18,False,1,1,1,1608116288,168,25,1,21,0,1,168,active,1608116400,1608116400,0,2
19,False,1,1,1,1608115030,173,61,3,6,0,25,173,active,1608116400,1608116400,2,0
20,False,1,1,1,1608103350,174,2,0,33,0,1,174,active,1608116400,1608116400,0,1
21,False,1,1,1,1608116391,212,22,2,36,0,1,212,active,1608116400,1608116400,0,1
22,False,1,1,1,1608101044,216,3,2,32,0,2,216,active,1608116400,1608116400,0,0
23,False,1,1,1,1608099357,217,24,0,15,0,1,217,active,1608116400,1608116400,1,0
24,False,1,1,1,1608113075,223,31,2,0,0,1,223,active,1608116400,1608116400,0,0
25,False,1,1,1,1608107453,224,10,2,22,0,0,224,active,1608116400,1608116400,1,0
26,False,1,1,1,1608101768,228,21,0,34,0,2,228,active,1608116400,1608116400,1,0
27,False,1,1,1,1608116067,229,14,1,8,0,0,229,active,1608116400,1608116400,4,0
28,False,1,1,1,1608100563,232,2,0,50,0,0,232,active,1608116400,1608116400,0,0
29,False,1,1,1,1608116317,236,0,24,0,27,0,236,active,1608116400,1608116400,1,0
30,False,1,1,1,1608100562,237,13,2,24,0,2,237,active,1608116400,1608116400,0,2
31,False,1,1,1,1608116197,238,23,0,8,0,4,238,active,1608116400,1608116400,0,0
32,False,1,1,1,1608099357,239,7,0,24,0,0,239,active,1608116400,1608116400,0,1
33,False,1,1,1,1608099357,241,2,0,21,0,1,241,active,1608116400,1608116400,3,0
34,False,1,1,1,1608099356,242,26,0,20,0,0,242,active,1608116400,1608116400,2,0
35,False,1,1,1,1608099356,244,7,0,24,0,2,244,active,1608116400,1608116400,0,0
36,True,1,1,1,1608116128,245,10,0,13,0,6,245,active,1608116400,1608116400,1,0
37,False,1,1,1,1608107941,247,70,0,9,0,3,247,active,1608116400,1608116400,1,0
38,False,1,1,1,1608100561,248,41,2,48,0,4,248,active,1608116400,1608116400,0,0
39,False,1,1,1,1608101768,249,22,0,5,0,2,249,active,1608116400,1608116400,0,1
40,False,1,1,1,1608107272,250,34,0,6,0,0,250,active,1608116400,1608116400,0,1
41,False,1,1,1,1608114460,251,21,3,3,0,0,251,active,1608116400,1608116400,0,1
42,False,1,1,1,1608100562,252,13,2,18,0,1,252,active,1608116400,1608116400,0,2
43,False,1,1,1,1608115648,254,42,3,2,0,3,254,active,1608116400,1608116400,0,0
44,False,1,1,1,1608115334,257,55,2,22,0,2,257,active,1608116400,1608116400,0,0
45,False,1,1,1,1608099356,258,4,1,18,0,2,258,active,1608116400,1608116400,0,2
46,False,1,1,1,1608099357,259,29,0,10,0,0,259,active,1608116400,1608116400,0,1
47,False,1,1,1,1608114704,260,7,0,26,0,0,260,active,1608116400,1608116400,1,0
48,False,1,1,1,1608116328,261,13,1,27,0,1,261,active,1608116400,1608116400,1,0
49,False,1,1,1,1608099357,262,11,1,12,0,0,262,active,1608116400,1608116400,1,0
50,False,1,1,1,1608102132,264,7,0,20,0,3,264,active,1608116400,1608116400,2,0
51,False,1,1,1,1608115609,265,20,1,14,0,2,265,active,1608116400,1608116400,0,1
52,False,1,1,1,1608116315,267,12,2,64,0,1,267,active,1608116400,1608116400,1,0
53,False,1,1,1,1608114378,268,20,0,7,0,1,268,active,1608116400,1608116400,0,0
54,False,1,1,1,1608115425,270,4,0,24,0,1,270,active,1608116400,1608116400,0,1
55,False,1,1,1,1608102597,274,5,0,26,0,2,274,active,1608116400,1608116400,0,3
56,False,1,1,1,1608099359,275,3,2,14,0,2,275,active,1608116400,1608116400,0,0
57,False,1,1,1,1608113409,276,13,0,12,0,5,276,active,1608116400,1608116400,0,1
58,False,1,1,1,1608099357,278,7,0,12,0,0,278,active,1608116400,1608116400,0,1
59,False,0,0,0,86400,280,0,0,0,0,0,280,out_of_service,1608116400,1608116400,0,0
60,True,1,1,1,1608116369,281,0,18,0,48,0,281,active,1608116400,1608116400,0,0
61,False,1,1,1,1608102239,282,0,2,25,0,0,282,active,1608116400,1608116400,19,0
62,False,1,1,1,1608116344,284,47,1,3,0,4,284,active,1608116400,1608116400,0,1
63,True,1,1,1,1608114765,285,27,1,25,0,1,285,active,1608116400,1608116400,4,0
64,False,1,1,1,1608099355,289,7,0,12,0,4,289,active,1608116400,1608116400,0,0
65,False,1,1,1,1608114565,291,17,1,2,0,2,291,active,1608116400,1608116400,1,0
66,False,1,1,1,1608113185,293,25,2,27,0,0,293,active,1608116400,1608116400,0,0
67,False,1,1,1,1608114571,295,8,0,16,0,2,295,active,1608116400,1608116400,1,0
68,False,1,1,1,1608103083,297,32,0,45,0,1,297,active,1608116400,1608116400,0,0
69,False,1,1,1,1608104016,298,11,1,23,0,5,298,active,1608116400,1608116400,0,1
70,False,1,1,1,1608109054,301,38,0,20,0,0,301,active,1608116400,1608116400,0,4
71,False,1,1,1,1608114623,302,33,1,3,0,4,302,active,1608116400,1608116400,0,0
72,False,1,1,1,1608101767,303,51,0,16,0,8,303,active,1608116400,1608116400,0,0
73,True,1,1,1,1608116083,304,7,0,26,0,3,304,active,1608116400,1608116400,1,0
74,False,1,1,1,1608115921,305,4,1,28,0,1,305,active,1608116400,1608116400,4,0
75,False,1,1,1,1608113264,307,7,0,23,0,2,307,active,1608116400,1608116400,4,0
76,False,1,1,1,1608101768,308,40,1,7,0,4,308,active,1608116400,1608116400,0,0
77,False,1,1,1,1608116380,309,24,1,16,0,1,309,active,1608116400,1608116400,4,0
78,False,1,1,1,1608099356,310,64,0,2,0,1,310,active,1608116400,1608116400,1,0
79,False,1,1,1,1608113666,311,22,1,8,0,1,311,active,1608116400,1608116400,1,0
80,False,1,1,1,1608114173,312,9,1,23,0,2,312,active,1608116400,1608116400,0,0
